Open,High,Low,Close,Adj Close,Volume,Return,Z_Score,Anomaly,Close_Diff,Lag_1,Lag_2,Lag_3,Lag_7,MA_7,MA_30
77.748573,78.114288,77.502853,77.882858,67.301636,107928100,0.0013040774195123284,0.02335218987132537,0,0.1014330000000001,77.781425,77.491432,76.487144,73.291428,76.16448957142858,69.32023796666667
77.917145,78.211426,75.14286,76.165718,65.817802,202281100,-0.022047727113455484,-1.4249219218225337,0,-1.7171400000000006,77.882858,77.781425,77.491432,73.769997,76.50673542857143,69.85766663333334
74.808571,76.241432,73.745712,75.751427,65.459801,202559700,-0.005439336894322855,-0.3948729781821899,0,-0.4142909999999915,76.165718,77.882858,77.781425,74.629997,76.66693971428572,70.34742849999999
76.685715,76.825714,74.757141,75.812859,65.512878,199630200,0.0008109682211001612,-0.007230341139938156,0,0.06143199999999638,75.751427,76.165718,77.882858,75.108574,76.76755185714286,70.87257143333333
76.384285,77.57,76.017143,77.427139,66.907837,129114300,0.021292957702597537,1.26305843162535,0,1.6142799999999937,75.812859,75.751427,76.165718,76.487144,76.90183685714285,71.3265237
77.744286,78.248573,77.587143,77.881432,67.300438,104729800,0.005867361313712127,0.30636611793623175,0,0.45429300000000694,77.427139,75.812859,75.751427,77.491432,76.95755114285714,71.80528576666667
78.425713,78.85714,78.14286,78.85714,68.143532,101820600,0.01252812095185929,0.719465060012632,0,0.9757079999999974,77.881432,77.427139,75.812859,77.781425,77.11122471428573,72.3039523
79.648575,81.168571,79.39286,81.157143,70.13105,172713800,0.029166705766909606,1.751386666278209,0,2.300003000000004,78.85714,77.881432,77.427139,77.882858,77.57897971428572,72.85199993333332
82.578575,84.959999,82.199997,84.225716,72.782761,354711000,0.03781026397146592,2.2874583674139757,0,3.0685730000000007,81.157143,78.85714,77.881432,76.165718,78.73040800000001,73.4858096
85.658569,85.715714,82.650002,83.651428,72.286484,289929500,-0.006818440106819756,-0.4804046756231009,0,-0.5742880000000099,84.225716,81.157143,78.85714,75.751427,79.85897957142858,74.10185726666667
83.531425,84.171425,82.571426,83.652855,72.287727,206371900,1.7058883920118006e-05,-0.05646843485756136,0,0.0014270000000067284,83.651428,84.225716,81.157143,75.812859,80.978979,74.72304766666667
85.48143,85.96714,84.150002,85.871429,74.204872,225309000,0.026521198828181047,1.5873128703427433,0,2.218574000000004,83.652855,83.651428,84.225716,77.427139,82.18530614285714,75.39647626666667
85.644287,86.699997,84.497147,86.565712,74.804832,204165500,0.008085145526109727,0.44391263840338413,0,0.6942829999999987,85.871429,83.652855,83.651428,77.881432,83.42591757142857,76.07261916666667
86.105713,87.092857,85.915718,86.071426,74.377708,161010500,-0.005709951302658944,-0.41165642809892744,0,-0.49428600000000245,86.565712,85.871429,83.652855,78.85714,84.45652985714287,76.70914283333333
85.397141,86.35714,85.075714,85.620003,73.98761,155967700,-0.005244748704407498,-0.3828046586868844,0,-0.45142300000000546,86.071426,86.565712,85.871429,81.157143,85.0940812857143,77.29323810000001
85.784286,85.971428,84.914284,85.150002,73.581444,107622200,-0.005489383129313796,-0.39797683537758566,0,-0.47000099999999634,85.620003,86.071426,86.565712,84.225716,85.22612214285714,77.7831429
85.684288,86.735718,85.03714,86.711426,74.930763,148935500,0.018337333685558788,1.0797512383103924,0,1.5614240000000024,85.150002,85.620003,86.071426,83.651428,85.6632647142857,78.32390473333335
86.597145,88.040001,86.580002,87.78286,75.856613,151782400,0.012356318531769883,0.7088099092729723,0,1.0714339999999964,86.711426,85.150002,85.620003,83.652855,86.25326542857144,78.85666663333333
88.339996,88.778572,87.187141,88.23143,76.244255,163865100,0.005109995276982415,0.25939443219249114,0,0.4485700000000037,87.78286,86.711426,85.150002,85.871429,86.59040842857144,79.37171433333333
87.540001,88.080002,86.747147,87.122856,75.286285,152059600,-0.012564388903138046,-0.8367672375432205,0,-1.1085740000000044,88.23143,87.78286,86.711426,86.565712,86.67000042857144,79.9059525
86.96714,87.222855,85.419998,85.650002,74.013542,182759500,-0.01690548344742049,-1.10600102784939,0,-1.472853999999998,87.122856,88.23143,87.78286,86.071426,86.60979699999999,80.36947636666667
85.975716,88.395714,85.76857,88.375717,76.368927,149587900,0.03182387549739918,1.9161837861586704,0,2.725714999999994,85.650002,87.122856,88.23143,85.620003,87.00347042857142,80.92428593333334
89.614288,90.315712,88.93,89.902855,77.688583,208639900,0.017280063481691643,1.0141795578364352,0,1.5271380000000079,88.375717,85.650002,87.122856,85.150002,87.68244942857143,81.46938099999998
89.192856,89.408569,88.14286,89.187141,77.070114,143245200,-0.0079609707611622,-0.5512641916902522,0,-0.7157140000000055,89.902855,88.375717,85.650002,86.711426,88.036123,81.9992381
89.568573,90.665718,89.057144,90.525711,78.22683,160324500,0.015008553755524012,0.8733009920611466,0,1.3385700000000043,89.187141,89.902855,88.375717,87.78286,88.42795885714285,82.5577619
89.447144,91.405716,89.328575,90.889999,78.541626,149384200,0.004024138512427777,0.19204981910736824,0,0.36428800000000194,90.525711,89.187141,89.902855,88.23143,88.80775442857143,83.09976196666666
91.418571,92.0,89.428574,89.777145,77.579979,222431300,-0.012243965367410792,-0.8168946357956323,0,-1.1128539999999987,90.889999,90.525711,89.187141,87.122856,89.18693857142857,83.58871433333334
90.885712,90.98143,89.048569,89.457146,77.303429,174153700,-0.003564370419665397,-0.27858794326308406,0,-0.3199990000000099,89.777145,90.889999,90.525711,85.650002,89.73081628571428,84.02104773333333
